"시점",종합,아파트
"시점",전국,전국
"2003. 11",61.5,55.4
"2003. 12",61.0,55.1
"2004. 01",60.7,55.0
"2004. 02",60.7,55.1
"2004. 03",60.8,55.4
"2004. 04",60.9,55.6
"2004. 05",60.9,55.7
"2004. 06",60.8,55.6
"2004. 07",60.6,55.5
"2004. 08",60.3,55.4
"2004. 09",60.2,55.3
"2004. 10",60.0,55.2
"2004. 11",59.7,55.0
"2004. 12",59.5,54.8
"2005. 01",59.3,54.6
"2005. 02",59.5,54.9
"2005. 03",59.7,55.2
"2005. 04",60.0,55.6
"2005. 05",60.3,56.1
"2005. 06",60.8,56.7
"2005. 07",61.2,57.3
"2005. 08",61.5,57.6
"2005. 09",61.6,57.7
"2005. 10",61.6,57.8
"2005. 11",61.6,57.8
"2005. 12",61.7,57.9
"2006. 01",61.9,58.2
"2006. 02",62.1,58.5
"2006. 03",62.5,59.0
"2006. 04",63.1,59.6
"2006. 05",63.6,60.3
"2006. 06",64.0,60.6
"2006. 07",64.1,60.8
"2006. 08",64.3,60.9
"2006. 09",64.7,61.2
"2006. 10",65.6,62.2
"2006. 11",67.5,64.5
"2006. 12",68.8,66.0
"2007. 01",69.7,66.9
"2007. 02",70.1,67.2
"2007. 03",70.4,67.4
"2007. 04",70.6,67.5
"2007. 05",70.8,67.6
"2007. 06",71.0,67.7
"2007. 07",71.2,67.8
"2007. 08",71.5,68.0
"2007. 09",71.8,68.2
"2007. 10",72.2,68.5
"2007. 11",72.6,68.8
"2007. 12",72.8,69.0
"2008. 01",73.2,69.3
"2008. 02",73.5,69.5
"2008. 03",74.3,70.1
"2008. 04",75.2,71.1
"2008. 05",75.9,71.8
"2008. 06",76.8,72.5
"2008. 07",77.4,73.0
"2008. 08",77.7,73.3
"2008. 09",78.1,73.6
"2008. 10",78.1,73.5
"2008. 11",77.7,73.1
"2008. 12",77.1,72.4
"2009. 01",76.7,71.9
"2009. 02",76.5,71.7
"2009. 03",76.4,71.6
"2009. 04",76.4,71.6
"2009. 05",76.5,71.7
"2009. 06",76.7,71.8
"2009. 07",76.9,72.1
"2009. 08",77.1,72.3
"2009. 09",77.7,72.9
"2009. 10",78.0,73.2
"2009. 11",78.2,73.4
"2009. 12",78.3,73.5
"2010. 01",78.4,73.6
"2010. 02",78.6,73.9
"2010. 03",78.7,74.1
"2010. 04",78.9,74.2
"2010. 05",78.9,74.2
"2010. 06",78.9,74.2
"2010. 07",78.8,74.0
"2010. 08",78.7,74.0
"2010. 09",78.7,74.0
"2010. 10",78.9,74.2
"2010. 11",79.1,74.5
"2010. 12",79.4,74.9
"2011. 01",79.7,75.3
"2011. 02",80.3,76.0
"2011. 03",81.0,76.9
"2011. 04",81.9,78.0
"2011. 05",82.0,78.2
"2011. 06",82.4,78.7
"2011. 07",82.7,79.2
"2011. 08",83.2,79.7
"2011. 09",83.6,80.2
"2011. 10",83.9,80.5
"2011. 11",84.2,80.9
"2011. 12",84.3,81.1
"2012. 01",84.5,81.3
"2012. 02",84.5,81.3
"2012. 03",84.5,81.3
"2012. 04",84.5,81.3
"2012. 05",84.4,81.1
"2012. 06",84.2,80.9
"2012. 07",84.0,80.6
"2012. 08",83.7,80.2
"2012. 09",83.5,79.9
"2012. 10",83.4,79.7
"2012. 11",83.3,79.6
"2012. 12",83.1,79.3
"2013. 01",82.9,79.1
"2013. 02",82.7,78.9
"2013. 03",82.7,78.8
"2013. 04",82.8,79.0
"2013. 05",82.9,79.2
"2013. 06",82.9,79.2
"2013. 07",82.9,79.2
"2013. 08",82.8,79.1
"2013. 09",82.8,79.1
"2013. 10",83.0,79.5
"2013. 11",83.2,79.7
"2013. 12",83.3,79.9
"2014. 01",83.5,80.2
"2014. 02",83.7,80.5
"2014. 03",83.9,80.8
"2014. 04",83.9,80.9
"2014. 05",84.0,80.9
"2014. 06",84.0,80.9
"2014. 07",84.0,81.0
"2014. 08",84.1,81.1
"2014. 09",84.3,81.4
"2014. 10",84.5,81.7
"2014. 11",84.6,81.9
"2014. 12",84.8,82.1
"2015. 01",84.9,82.3
"2015. 02",85.0,82.5
"2015. 03",85.3,82.9
"2015. 04",85.7,83.4
"2015. 05",86.0,83.8
"2015. 06",86.3,84.2
"2015. 07",86.5,84.5
"2015. 08",86.8,84.8
"2015. 09",87.0,85.2
"2015. 10",87.3,85.6
"2015. 11",87.6,85.9
"2015. 12",87.7,86.1
"2016. 01",87.8,86.1
"2016. 02",87.8,86.1
"2016. 03",87.8,86.1
"2016. 04",87.8,86.1
"2016. 05",87.8,86.1
"2016. 06",87.8,86.1
"2016. 07",87.9,86.2
"2016. 08",87.9,86.2
"2016. 09",88.0,86.3
"2016. 10",88.2,86.5
"2016. 11",88.3,86.7
"2016. 12",88.4,86.8
"2017. 01",88.4,86.8
"2017. 02",88.4,86.8
"2017. 03",88.4,86.8
"2017. 04",88.5,86.8
"2017. 05",88.6,86.9
"2017. 06",88.8,87.1
"2017. 07",89.0,87.3
"2017. 08",89.2,87.5
"2017. 09",89.3,87.5
"2017. 10",89.4,87.6
"2017. 11",89.6,87.6
"2017. 12",89.7,87.7
"2018. 01",89.8,87.8
"2018. 02",90.0,88.0
"2018. 03",90.1,88.1
"2018. 04",90.1,88.1
"2018. 05",90.1,87.9
"2018. 06",90.1,87.8
"2018. 07",90.1,87.7
"2018. 08",90.1,87.6
"2018. 09",90.4,87.9
"2018. 10",90.5,88.0
"2018. 11",90.7,87.9
"2018. 12",90.6,87.8
"2019. 01",90.5,87.5
"2019. 02",90.4,87.3
"2019. 03",90.3,87.0
"2019. 04",90.1,86.7
"2019. 05",89.9,86.4
"2019. 06",89.8,86.2
"2019. 07",89.7,86.0
"2019. 08",89.7,85.8
"2019. 09",89.7,85.8
"2019. 10",89.8,85.9
"2019. 11",90.0,86.1
"2019. 12",90.3,86.5
"2020. 01",90.6,86.9
"2020. 02",90.9,87.2
"2020. 03",91.4,87.9
"2020. 04",91.6,88.3
"2020. 05",91.7,88.4
"2020. 06",92.1,88.9
"2020. 07",92.7,89.7
"2020. 08",93.1,90.3
"2020. 09",93.5,90.8
"2020. 10",93.8,91.2
"2020. 11",94.3,91.9
"2020. 12",95.2,93.1
"2021. 01",95.9,94.1
"2021. 02",96.8,95.4
"2021. 03",97.5,96.4
"2021. 04",98.2,97.4
"2021. 05",98.9,98.3
"2021. 06",100.0,100.0
"2021. 07",100.9,101.2
