"시점",0 총지수,전세,월세
"시점",전국,전국,전국
"1965. 01",2.628,-,-
"1965. 02",2.686,-,-
"1965. 03",2.691,-,-
"1965. 04",2.733,-,-
"1965. 05",2.788,-,-
"1965. 06",2.763,-,-
"1965. 07",2.798,-,-
"1965. 08",2.827,-,-
"1965. 09",2.813,-,-
"1965. 10",2.796,-,-
"1965. 11",2.748,-,-
"1965. 12",2.757,-,-
"1966. 01",2.823,-,-
"1966. 02",2.903,-,-
"1966. 03",2.950,-,-
"1966. 04",2.980,-,-
"1966. 05",3.063,-,-
"1966. 06",3.068,-,-
"1966. 07",3.054,-,-
"1966. 08",3.117,-,-
"1966. 09",3.175,-,-
"1966. 10",3.257,-,-
"1966. 11",3.175,-,-
"1966. 12",3.177,-,-
"1967. 01",3.195,-,-
"1967. 02",3.241,-,-
"1967. 03",3.286,-,-
"1967. 04",3.374,-,-
"1967. 05",3.407,-,-
"1967. 06",3.369,-,-
"1967. 07",3.374,-,-
"1967. 08",3.415,-,-
"1967. 09",3.470,-,-
"1967. 10",3.525,-,-
"1967. 11",3.547,-,-
"1967. 12",3.544,-,-
"1968. 01",3.614,-,-
"1968. 02",3.670,-,-
"1968. 03",3.706,-,-
"1968. 04",3.704,-,-
"1968. 05",3.712,-,-
"1968. 06",3.726,-,-
"1968. 07",3.724,-,-
"1968. 08",3.748,-,-
"1968. 09",3.767,-,-
"1968. 10",3.869,-,-
"1968. 11",3.960,-,-
"1968. 12",3.935,-,-
"1969. 01",4.037,-,-
"1969. 02",4.062,-,-
"1969. 03",4.093,-,-
"1969. 04",4.114,-,-
"1969. 05",4.141,-,-
"1969. 06",4.155,-,-
"1969. 07",4.155,-,-
"1969. 08",4.177,-,-
"1969. 09",4.312,-,-
"1969. 10",4.428,-,-
"1969. 11",4.477,-,-
"1969. 12",4.576,-,-
"1970. 01",4.638,-,-
"1970. 02",4.731,-,-
"1970. 03",4.834,-,-
"1970. 04",4.938,-,-
"1970. 05",4.888,-,-
"1970. 06",4.785,-,-
"1970. 07",4.819,-,-
"1970. 08",4.853,-,-
"1970. 09",4.971,-,-
"1970. 10",5.069,-,-
"1970. 11",5.060,-,-
"1970. 12",5.236,-,-
"1971. 01",5.374,-,-
"1971. 02",5.481,-,-
"1971. 03",5.584,-,-
"1971. 04",5.560,-,-
"1971. 05",5.461,-,-
"1971. 06",5.452,-,-
"1971. 07",5.549,-,-
"1971. 08",5.599,-,-
"1971. 09",5.692,-,-
"1971. 10",5.647,-,-
"1971. 11",5.657,-,-
"1971. 12",5.712,-,-
"1972. 01",5.799,-,-
"1972. 02",5.985,-,-
"1972. 03",6.152,-,-
"1972. 04",6.192,-,-
"1972. 05",6.217,-,-
"1972. 06",6.251,-,-
"1972. 07",6.318,-,-
"1972. 08",6.417,-,-
"1972. 09",6.422,-,-
"1972. 10",6.348,-,-
"1972. 11",6.231,-,-
"1972. 12",6.235,-,-
"1973. 01",6.255,-,-
"1973. 02",6.274,-,-
"1973. 03",6.284,-,-
"1973. 04",6.318,-,-
"1973. 05",6.354,-,-
"1973. 06",6.339,-,-
"1973. 07",6.373,-,-
"1973. 08",6.437,-,-
"1973. 09",6.490,-,-
"1973. 10",6.500,-,-
"1973. 11",6.579,-,-
"1973. 12",6.765,-,-
"1974. 01",7.054,-,-
"1974. 02",7.427,-,-
"1974. 03",7.706,-,-
"1974. 04",7.849,-,-
"1974. 05",7.888,-,-
"1974. 06",7.829,-,-
"1974. 07",8.000,-,-
"1974. 08",8.251,-,-
"1974. 09",8.388,-,-
"1974. 10",8.310,-,-
"1974. 11",8.422,-,-
"1974. 12",8.554,-,-
"1975. 01",8.849,8.755,10.481
"1975. 02",9.009,8.755,10.481
"1975. 03",9.179,9.122,10.890
"1975. 04",9.468,9.122,10.890
"1975. 05",9.808,9.122,10.890
"1975. 06",9.938,9.306,11.300
"1975. 07",10.118,9.306,11.300
"1975. 08",10.338,9.306,11.300
"1975. 09",10.698,9.489,11.546
"1975. 10",10.847,9.489,11.546
"1975. 11",10.767,9.489,11.546
"1975. 12",10.818,9.734,11.873
"1976. 01",10.887,9.734,11.873
"1976. 02",11.007,9.734,11.873
"1976. 03",11.197,10.041,12.283
"1976. 04",11.316,10.041,12.283
"1976. 05",11.386,10.041,12.283
"1976. 06",11.496,10.775,12.855
"1976. 07",11.717,10.775,12.855
"1976. 08",11.836,10.775,12.855
"1976. 09",11.926,10.958,13.265
"1976. 10",11.796,10.958,13.265
"1976. 11",11.786,10.958,13.265
"1976. 12",11.856,11.326,14.085
"1977. 01",11.945,11.326,14.085
"1977. 02",12.226,11.326,14.085
"1977. 03",12.395,11.326,14.248
"1977. 04",12.405,11.326,14.248
"1977. 05",12.534,11.326,14.248
"1977. 06",12.655,12.000,14.903
"1977. 07",12.816,12.000,14.903
"1977. 08",12.985,12.000,14.903
"1977. 09",13.024,12.612,15.721
"1977. 10",12.985,12.612,15.721
"1977. 11",13.035,12.612,15.721
"1977. 12",13.155,12.856,16.377
"1978. 01",13.534,12.856,16.377
"1978. 02",13.814,12.856,16.377
"1978. 03",13.993,13.285,16.949
"1978. 04",13.973,13.469,17.277
"1978. 05",14.113,13.469,17.277
"1978. 06",14.502,13.469,17.277
"1978. 07",14.712,14.326,18.260
"1978. 08",14.742,14.326,18.260
"1978. 09",15.041,14.326,18.260
"1978. 10",15.172,14.326,18.260
"1978. 11",15.252,14.326,18.260
"1978. 12",15.311,14.693,18.915
"1979. 01",15.441,14.877,19.242
"1979. 02",15.981,14.877,19.242
"1979. 03",16.271,14.877,19.242
"1979. 04",16.670,15.550,21.126
"1979. 05",17.190,15.550,21.126
"1979. 06",17.349,17.509,22.844
"1979. 07",17.429,17.509,22.844
"1979. 08",17.489,17.509,22.844
"1979. 09",17.729,18.673,24.564
"1979. 10",17.848,18.673,24.564
"1979. 11",18.118,18.673,24.564
"1979. 12",18.558,19.469,26.203
"1980. 01",19.363,19.469,26.203
"1980. 02",20.201,19.469,26.203
"1980. 03",20.953,20.448,27.268
"1980. 04",21.107,20.448,27.268
"1980. 05",21.771,20.448,27.268
"1980. 06",22.036,21.979,28.987
"1980. 07",22.214,21.979,28.987
"1980. 08",22.589,21.979,28.987
"1980. 09",23.009,22.714,30.296
"1980. 10",23.650,22.714,30.296
"1980. 11",23.783,22.714,30.296
"1980. 12",24.534,23.019,30.951
"1981. 01",24.932,23.019,30.951
"1981. 02",25.131,23.019,30.951
"1981. 03",25.617,23.386,31.607
"1981. 04",25.838,23.386,31.607
"1981. 05",26.413,23.386,31.607
"1981. 06",27.142,23.877,32.671
"1981. 07",27.407,23.877,32.671
"1981. 08",27.695,23.877,32.671
"1981. 09",28.048,24.183,33.409
"1981. 10",27.982,24.183,33.409
"1981. 11",27.739,24.183,33.409
"1981. 12",27.894,24.611,33.981
"1982. 01",28.027,24.611,33.981
"1982. 02",28.159,24.611,33.981
"1982. 03",28.424,24.796,34.472
"1982. 04",28.469,24.796,34.472
"1982. 05",28.690,24.796,34.472
"1982. 06",28.866,25.347,35.865
"1982. 07",28.933,25.347,35.865
"1982. 08",29.021,25.347,35.865
"1982. 09",29.153,26.141,36.765
"1982. 10",29.087,26.141,36.765
"1982. 11",28.910,26.141,36.765
"1982. 12",29.242,27.366,38.649
"1983. 01",29.464,27.611,38.812
"1983. 02",29.662,27.672,39.058
"1983. 03",29.772,27.918,39.222
"1983. 04",29.685,28.408,39.796
"1983. 05",29.772,28.836,40.041
"1983. 06",29.750,29.265,40.614
"1983. 07",29.750,29.999,41.023
"1983. 08",29.772,30.244,41.433
"1983. 09",29.816,30.550,41.515
"1983. 10",29.794,30.857,41.841
"1983. 11",29.729,31.039,42.005
"1983. 12",29.816,31.408,42.333
"1984. 01",29.993,31.408,42.497
"1984. 02",30.259,31.529,42.743
"1984. 03",30.370,31.591,42.824
"1984. 04",30.458,31.652,42.824
"1984. 05",30.413,31.836,43.153
"1984. 06",30.259,32.081,43.234
"1984. 07",30.259,32.203,43.316
"1984. 08",30.413,32.203,43.480
"1984. 09",30.767,32.264,43.644
"1984. 10",30.613,32.386,43.807
"1984. 11",30.546,32.448,43.971
"1984. 12",30.546,32.570,44.053
"1985. 01",30.626,32.694,44.217
"1985. 02",30.844,32.815,44.217
"1985. 03",30.875,32.876,44.380
"1985. 04",30.907,32.999,44.626
"1985. 05",31.125,33.366,44.790
"1985. 06",31.156,33.611,45.200
"1985. 07",31.156,33.856,45.200
"1985. 08",31.218,33.979,45.363
"1985. 09",31.561,33.979,45.446
"1985. 10",31.655,34.039,45.609
"1985. 11",31.281,34.162,45.609
"1985. 12",31.467,34.162,45.691
"1986. 01",31.748,34.346,45.773
"1986. 02",31.934,34.346,45.854
"1986. 03",31.997,34.469,46.018
"1986. 04",31.966,34.529,46.182
"1986. 05",32.153,34.775,46.591
"1986. 06",32.091,35.019,46.836
"1986. 07",32.122,35.142,47.001
"1986. 08",32.091,35.203,47.082
"1986. 09",32.278,35.264,47.164
"1986. 10",31.966,35.264,47.410
"1986. 11",31.904,35.387,47.410
"1986. 12",31.904,35.570,47.410
"1987. 01",32.028,35.570,47.655
"1987. 02",32.091,35.570,47.655
"1987. 03",32.339,35.693,47.655
"1987. 04",32.526,35.815,47.819
"1987. 05",33.024,35.938,47.983
"1987. 06",32.994,36.060,48.229
"1987. 07",32.900,36.122,48.229
"1987. 08",33.368,36.305,48.229
"1987. 09",33.586,36.244,48.311
"1987. 10",33.617,36.305,48.392
"1987. 11",33.555,36.427,48.638
"1987. 12",33.835,36.611,48.721
"1988. 01",34.021,36.733,48.802
"1988. 02",34.582,36.794,49.048
"1988. 03",35.082,36.856,49.294
"1988. 04",35.020,37.224,49.539
"1988. 05",35.205,37.836,49.785
"1988. 06",35.424,38.325,50.194
"1988. 07",35.486,38.509,50.440
"1988. 08",35.673,38.693,50.768
"1988. 09",35.767,38.814,51.014
"1988. 10",35.673,39.060,51.260
"1988. 11",35.954,39.366,51.586
